run	hive_metric	application	version_note	note	start_date	end_date	condition_1	condition_2	condition_3	condition_4	condition_5	condition_6
TRUE	CPNI_failure_IMEI	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'IMEI') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'IMEI')					
TRUE	CPNI_failure_email	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'EMAIL') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'EMAIL')					
TRUE	CPNI_failure_mac_address	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'MAC_ADDRESS') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'MAC_ADDRESS')					
TRUE	CPNI_failure_security_code	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'SECURITY_CODE') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountFailure' AND state__view__current_page__elements__element_string_value = 'SECURITY_CODE')					
TRUE	CPNI_start	MySpectrum		https://jira.charter.com/browse/XGANALYTIC-26511			visit__application_details__application_name = 'MySpectrum'	message__name = 'pageView'	state__view__current_page__page_name = 'verifyYourAccount'			
TRUE	CPNI_start_modalView	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'modalView' AND state__view__modal__name = 'verifyAccountModal') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'modalView' AND state__view__modal__name = 'verifyAccountModal')					
TRUE	CPNI_start_pageView	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'pageView' AND state__view__current_page__page_name = 'verifyAccountPage') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'pageView' AND state__view__current_page__page_name = 'verifyAccountPage')					
TRUE	CPNI_submit	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	https://jira.charter.com/browse/XGANALYTIC-26511|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name in ('verifyYourAccountCont', 'verifyAccount')) OR (visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont')					
TRUE	CPNI_submit_IMEI	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options, 'IMEI Number')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options, 'IMEI Number'))					
TRUE	CPNI_submit_email	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options , 'Email')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options , 'Email'))					
TRUE	CPNI_submit_mac_address	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options , 'MAC Address')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options, 'MAC Address'))					
TRUE	CPNI_submit_security_code	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options, 'Security Code')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'verifyAccountCont' AND array_contains(state__view__current_page__elements__selected_options, 'Security Code'))					
TRUE	CPNI_success	MySpectrum|SMB|SpecNet	N/A|N/A|N/A	https://jira.charter.com/browse/XGANALYTIC-26511|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name in ('modalView', 'pageView') AND state__view__modal__name = 'verifyYourAccountSuccess' OR state__view__current_page__page_name = 'verificationSuccess') OR (visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess')					
TRUE	CPNI_success_IMEI	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'IMEI') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'IMEI')					
TRUE	CPNI_success_email	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'EMAIL') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'EMAIL')					
TRUE	CPNI_success_mac_address	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'MAC_ADDRESS') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'MAC_ADDRESS')					
TRUE	CPNI_success_security_code	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'SECURITY_CODE') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'applicationActivity' AND message__event_case_id = 'SPECTRUM_appActivity_verifyAccountSuccess' AND state__view__current_page__elements__element_string_value = 'SECURITY_CODE')					
TRUE	OTP_failure_core	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'oneTimePayment'	message__feature__feature_step_name in ('paymentFailure', 'paymentFailureQuickPay')		
TRUE	OTP_failure_core_full	SMB|SpecNet	N/A|https://jira.charter.com/browse/XGANALYTIC-25828	N/A|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND message__feature__feature_step_name in ('otpFailure', 'otpApFailure', 'otpNoApFailure', 'otpPaperFailure', 'otpNoPaperFailure')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND message__feature__feature_step_name in ('otpFailure', 'otpApFailure', 'otpNoApFailure', 'otpPaperFailure', 'otpNoPaperFailure'))					
TRUE	OTP_failure_core_quickPay	SMB|SpecNet	N/A|https://jira.charter.com/browse/XGANALYTIC-25828	N/A|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND message__feature__feature_step_name in ('otpFailure', 'otpApFailure', 'otpNoApFailure', 'otpPaperFailure', 'otpNoPaperFailure')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND message__feature__feature_step_name in ('otpFailure', 'otpApFailure', 'otpNoApFailure', 'otpPaperFailure', 'otpNoPaperFailure'))					
TRUE	OTP_failure_legacy	SMB|SpecNet	N/A|N/A	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'billing' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name in ('paymentFailure', 'paymentWithAutoPayFailure')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'billing' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name in ('paymentFailure', 'paymentWithAutoPayFailure'))					
TRUE	OTP_failure_mobile	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'oneTimePayment'	message__feature__feature_step_name = 'mobilePaymentFailure'		
TRUE	OTP_failure_mobile_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow' AND message__feature__feature_step_name = 'otpFailure') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow' AND message__feature__feature_step_name = 'otpFailure')					
TRUE	OTP_failure_mobile_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow' AND message__feature__feature_step_name = 'otpFailure') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow' AND message__feature__feature_step_name = 'otpFailure')					
TRUE	OTP_start_core	MySpectrum	https://jira.charter.com/browse/XGANALYTIC-25828				visit__application_details__application_name = 'MySpectrum'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'coreChoosePayment'			
TRUE	OTP_start_core_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow')					
TRUE	OTP_start_core_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow')					
TRUE	OTP_start_legacy	MySpectrum|SMB|SpecMobile|SpecNet	m1|m1|m1|m1	N/A|N/A|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'featureStart' AND message__feature__feature_name = 'oneTimePaymentStart') OR (visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__feature_name = 'oneTimePayment') OR (visit__application_details__application_name = 'SpecMobile' AND message__name = 'featureStart' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name = 'oneTimePaymentStart') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__feature_name = 'oneTimePayment')					
TRUE	OTP_start_mobile	MySpectrum	https://jira.charter.com/browse/XGANALYTIC-25828				visit__application_details__application_name = 'MySpectrum'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'mobileChoosePayment'			
TRUE	OTP_start_mobile_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow')					
TRUE	OTP_start_mobile_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStart' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow')					
TRUE	OTP_start_modal	MySpectrum	https://jira.charter.com/browse/XGANALYTIC-25828				visit__application_details__application_name = 'MySpectrum'	message__name = 'modalView'	state__view__modal__name = 'bottomSheetMakePayment'	message__feature__feature_name = 'oneTimePayment'		
TRUE	OTP_submit_core	MySpectrum	https://jira.charter.com/browse/XGANALYTIC-25828				visit__application_details__application_name = 'MySpectrum'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'coreMakePaymentConfirm'	message__feature__feature_name = 'oneTimePayment'		
TRUE	OTP_submit_core_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm')					
TRUE	OTP_submit_core_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm')					
TRUE	OTP_submit_legacy	MySpectrum|SMB|SpecMobile|SpecNet	m1|m1|m1|m1	N/A|N/A|N/A|N/A			(visit__application_details__application_name = 'MySpectrum' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SpecMobile' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'makePayment') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm')					
TRUE	OTP_submit_mobile	MySpectrum	https://jira.charter.com/browse/XGANALYTIC-25828				visit__application_details__application_name = 'MySpectrum'	message__name = 'selectAction'	state__view__current_page__elements__standardized_name = 'mobileMakePaymentConfirm'	message__feature__feature_name = 'oneTimePayment'		
TRUE	OTP_submit_mobile_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileLegacyFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm')					
TRUE	OTP_submit_mobile_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'selectAction' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'mobileQuickPayFlow' AND state__view__current_page__elements__standardized_name = 'makePaymentConfirm')					
TRUE	OTP_success_core	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'oneTimePayment'	message__feature__feature_step_name in ('paymentSuccess', 'paymentSuccessQuickPay')		
TRUE	OTP_success_core_full	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND message__feature__feature_step_name in ('otpSuccess', 'otpApSuccess', 'otpNoApSuccess', 'otpPaperSuccess', 'otpNoPaperSuccess')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreLegacyFlow' AND message__feature__feature_step_name in ('otpSuccess', 'otpApSuccess', 'otpNoApSuccess', 'otpPaperSuccess', 'otpNoPaperSuccess'))					
TRUE	OTP_success_core_quickPay	SMB|SpecNet	https://jira.charter.com/browse/XGANALYTIC-25828|https://jira.charter.com/browse/XGANALYTIC-25828	Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name|Need to validate, and ensure the payment flow type, (legacy or quickpay), is passing in feature_name			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND message__feature__feature_step_name in ('otpSuccess', 'otpApSuccess', 'otpNoApSuccess', 'otpPaperSuccess', 'otpNoPaperSuccess')) OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__featuretype = 'oneTimePayment' AND message__feature__feature_name = 'coreQuickPayFlow' AND message__feature__feature_step_name in ('otpSuccess', 'otpApSuccess', 'otpNoApSuccess', 'otpPaperSuccess', 'otpNoPaperSuccess'))					
TRUE	OTP_success_legacy	SMB|SpecMobile|SpecNet	m1|m1|m1	N/A|N/A|N/A			(visit__application_details__application_name = 'SMB' AND message__name = 'featureStop' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name = 'paymentSuccess') OR (visit__application_details__application_name = 'SpecMobile' AND message__name = 'featureStop' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name = 'paymentSuccess') OR (visit__application_details__application_name = 'SpecNet' AND message__name = 'featureStop' AND message__feature__feature_name = 'oneTimePayment' AND message__feature__feature_step_name = 'paymentSuccess')					
TRUE	OTP_success_mobile	MySpectrum					visit__application_details__application_name = 'MySpectrum'	message__name = 'featureStop'	message__feature__feature_name = 'oneTimePayment'	message__feature__feature_step_name in ('mobilePaymentSuccess', 'mobilePaymentPending')		
